"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"214",1,1,0,1,NA,0,0,0,0,0,556.972148793739
"215",1,1,0,1,NA,0,0,0,0,0,556.972148793739
"216",1,1,0,0,NA,0,0,0,0,0,1211.83066939537
"217",1,1,0,0,NA,0,0,0,0,0,1211.83066939537
"218",0,1,0,1,0,2,1,1,1,0,543.768942703182
"219",0,1,0,1,0,2,1,1,1,1738,543.768942703182
"220",1,1,0,1,NA,0,0,0,0,0,660.10292089535
"221",1,1,0,1,NA,0,0,0,0,850,660.10292089535
"222",0,1,0,1,9,1,1,1,0,1159,2031.86332890604
"223",0,1,0,1,9,1,1,1,0,1357,2031.86332890604
"224",0,1,0,1,NA,0,0,0,0,1216,91.5786666479374
"225",0,1,0,1,NA,0,0,0,0,912,91.5786666479374
"226",0,1,0,1,9,2,1,1,0,1750,105.647547715517
"227",0,1,0,1,9,2,1,1,0,2400,105.647547715517
"228",0,0,0,0,14,1,1,1,1,0,58.8141900075012
"229",0,0,0,1,9,1,1,1,1,1063,1872.26347317501
"230",0,1,0,1,20,1,1,1,0,2654,3875.62721536424
"231",0,1,0,1,20,1,1,1,0,1378,3875.62721536424
"232",0,1,0,0,20,1,1,1,0,101,3875.62721536424
"233",0,0,1,0,NA,0,0,0,0,101,3875.62721536424
"234",1,1,0,1,NA,0,0,0,0,579,1443.89355323088
"235",1,1,0,1,NA,0,0,0,0,1250,1443.89355323088
"236",0,0,1,0,NA,0,0,0,0,79,1443.89355323088
"237",0,0,1,1,NA,0,0,0,0,0,180.045278309662
"238",1,1,0,1,NA,0,0,0,0,0,612.100860050166
"239",1,1,0,1,NA,0,0,0,0,0,612.100860050166
"240",0,1,0,1,NA,0,0,0,0,600,1498.87548749031
"241",0,1,0,1,NA,0,0,0,0,1000,1498.87548749031
"242",0,1,0,1,3,2,1,1,1,2119,1587.97020420262
"243",0,1,0,1,3,2,1,1,1,1232,1587.97020420262
"244",0,1,0,0,NA,0,0,0,0,48,168.979836296874
"245",0,1,0,0,NA,0,0,0,0,951,168.979836296874
"246",1,0,1,1,NA,0,0,0,0,0,664.362668202474
"247",0,0,1,1,NA,0,0,0,0,1544,770.771432899413
"248",0,1,0,1,0,1,1,1,1,1149,917.796818674506
"249",0,1,0,1,0,1,1,1,1,1692,917.796818674506
"250",1,0,1,1,NA,0,0,0,0,0,51.3189516839874
"251",0,0,1,0,NA,0,0,0,0,1985,941.744643749608
"252",0,1,0,1,NA,0,0,0,0,1726,1179.66194528326
"253",0,1,0,1,NA,0,0,0,0,384,1179.66194528326
"254",1,1,0,1,NA,0,0,0,0,0,1387.89427053533
"255",1,1,0,1,NA,0,0,0,0,0,1387.89427053533
"256",1,1,0,1,NA,0,0,0,0,0,189.897711442577
"257",1,1,0,1,NA,0,0,0,0,0,189.897711442577
"258",1,1,0,1,NA,0,0,0,0,0,262.029405424477
"259",1,1,0,1,NA,0,0,0,0,0,262.029405424477
"260",0,0,1,1,NA,0,0,0,0,1510,145.495169661244
"261",1,0,1,1,NA,0,0,0,0,0,112.002269329813
"262",0,0,1,1,NA,0,0,0,0,0,112.002269329813
"263",0,1,0,1,NA,0,0,0,0,1050,216.717773529717
"264",0,1,0,1,NA,0,0,0,0,1000,216.717773529717
"265",0,0,1,0,NA,0,0,0,0,1606,216.717773529717
"266",0,0,1,0,NA,0,0,0,0,619,216.717773529717
"267",0,1,0,1,NA,0,0,0,0,0,988.357613233449
"268",0,1,0,1,NA,0,0,0,0,1343,988.357613233449
"269",1,0,1,0,NA,0,0,0,0,0,1250.92761029051
"270",1,0,1,0,NA,0,0,0,0,0,449.493298856334
"271",0,0,1,1,NA,0,0,0,0,0,449.493298856334
"272",0,0,1,0,NA,0,0,0,0,1308,1307.24274619094
"273",0,1,0,1,14,1,1,1,0,0,325.420315679369
"274",0,1,0,1,14,1,1,1,0,896,325.420315679369
"275",0,0,1,0,NA,0,0,0,0,752,325.420315679369
"276",1,1,0,1,NA,0,0,0,0,0,998.832511530779
"277",1,1,0,1,NA,0,0,0,0,0,998.832511530779
"278",0,1,0,1,NA,0,0,0,0,2860,614.473522877581
"279",0,1,0,1,NA,0,0,0,0,2417,614.473522877581
"280",1,0,1,1,NA,0,0,0,0,0,573.109731260121
"281",0,1,0,1,2,2,1,0,0,2000,1615.86880427803
"282",0,1,0,1,2,2,1,1,1,0,1615.86880427803
"283",1,1,0,1,NA,0,0,0,0,0,842.570023723023
"284",1,1,0,1,NA,0,0,0,0,288,842.570023723023
"285",0,1,0,1,NA,0,0,0,0,1150,46.8021398634346
"286",0,1,0,1,NA,0,0,0,0,2500,46.8021398634346
"287",1,1,0,1,NA,0,0,0,0,0,96.0448252938217
"288",1,1,0,1,NA,0,0,0,0,0,96.0448252938217
"289",0,0,1,1,NA,0,0,0,0,3653,1414.74046321251
"290",0,1,0,1,NA,0,0,0,0,3362,1382.54691486757
"291",0,1,0,1,NA,0,0,0,0,1565,1382.54691486757
"292",0,1,0,1,NA,0,0,0,0,0,457.776409378652
"293",0,1,0,1,NA,0,0,0,0,0,457.776409378652
"294",0,1,0,0,NA,0,0,0,0,1110,132.881620194109
"295",0,1,0,0,NA,0,0,0,0,1100,132.881620194109
"296",0,1,0,1,NA,0,0,0,0,2052,947.413581516051
"297",0,1,0,1,NA,0,0,0,0,0,947.413581516051
"298",0,1,0,1,8,1,1,0,0,0,1000.66360331443
"299",0,1,0,1,8,1,1,0,0,0,1000.66360331443
"300",1,1,0,0,NA,0,0,0,0,0,1460.10515330727
"301",1,1,0,0,NA,0,0,0,0,0,1460.10515330727
"302",0,0,1,1,NA,0,0,0,0,1303,1460.10515330727
"303",1,0,1,1,NA,0,0,0,0,0,876.507819478689
"304",0,0,1,0,NA,0,0,0,0,5064,1793.5426057748
"305",1,1,0,1,NA,0,0,0,0,0,683.986173392573
"306",1,1,0,1,NA,0,0,0,0,0,683.986173392573
"307",0,1,0,0,3,1,1,1,1,1945,683.986173392573
"308",0,1,0,0,3,1,1,1,1,736,683.986173392573
"309",1,1,0,1,NA,0,0,0,0,0,189.335705004708
"310",1,1,0,1,NA,0,0,0,0,0,189.335705004708
"311",0,1,0,1,NA,0,0,0,0,969,880.322067703098
"312",1,1,0,1,NA,0,0,0,0,2431,880.322067703098
"313",0,0,1,1,NA,0,0,0,0,1407,1178.56624310206
