"AGEEC","wage","over_60","partnered","living_alone","Have_dep","Home_owner","HECSDebt","young_child","partner_earnings","Numb_dep","Rent","Main_carer_dep","PPeligible","child_ages","hours","TotalGovtPay_Stated","DispInc_Stated","EmployeeInc_Stated","AgedPen_Stated","FTB_Stated","PP_Stated","CRA_Stated","JSP_Stated","JSP_SIH_Modelled","FTB_SIH_Modelled","PP_SIH_Modelled","AgedPen_SIH_Modelled","CRA_SIH_Modelled","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment"
35,58.9803921568627,0,0,1,0,1,0,NA,0,0,NA,0,0,"",51,0,2158.58,3008,0,0,0,0,0,0,0,0,0,0,2135.48230769231,872.517692307692,3008,0,0,0,0,0,3008,3008,0,0,0
59,0,0,0,1,0,0,0,NA,0,0,240,0,0,"",0,370.25,370.25,0,0,0,0,82,0,0,0,0,0,44.1,326.35,0,0,277.85,0,44.1,4.4,277.85,277.85,277.85,0,0,0
50,44.24,0,0,1,0,0,1500,NA,0,0,920,0,0,"",50,0,1616.81,2212,0,0,0,0,0,0,0,0,0,0,1605.15615384615,577.997692307692,2212,0,0,0,0,0,2212,2212,0,0,28.8461538461538
31,0,0,1,0,0,1,0,NA,600,0,NA,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.8,0,0,250.85,0,0,3.95,250.85,250.85,262.388461538462,0,0,0
32,60,0,1,0,0,0,0,NA,0,0,0,0,0,"",10,0,571.08,600,0,0,0,0,0,0,0,0,0,0,565.961538461538,34.0384615384615,600,0,0,0,0,0,600,600,0,0,0
33,100,0,0,1,0,1,0,NA,0,0,NA,0,0,"",5,0,485.26,500,0,0,0,0,0,0,0,0,0,0,510.502538461539,19.9974615384615,500,26.1,0,0,4.4,26.1,526.1,526.1,0,0,0
47,73.32,0,1,0,0,1,0,NA,403,0,NA,0,0,"",50,0,2729.96,3666,0,0,0,0,0,0,0,0,0,0,2533.66538461538,1132.33461538462,3666,0,0,0,0,0,3666,3673.75,0,0,0
54,28.7857142857143,0,1,0,0,1,0,NA,3666,0,NA,0,0,"",14,0,403,403,0,0,0,0,0,0,0,0,0,0,449.019038461538,5.68096153846154,403,47.75,0,0,3.95,47.75,450.75,521.25,0,0,0
19,15.3333333333333,0,0,1,0,0,0,NA,0,0,200,0,0,"",42,0,594.84,644,0,0,0,0,0,0,0,0,0,0,601.601538461538,42.3984615384615,644,0,0,0,0,0,644,644,0,0,0
27,32.8947368421053,0,0,1,0,0,21000,NA,0,0,0,0,0,"",38,0,1029.53,1250,0,0,0,0,0,0,0,0,0,0,962.557692307692,243.692307692308,1250,0,0,0,0,0,1250,1250,0,0,43.75
51,25,0,1,0,0,1,0,NA,384,0,NA,0,0,"",60,0,1553.12,1500,0,0,0,0,0,0,0,0,0,0,1175.05769230769,324.942307692308,1500,0,0,0,0,0,1500,1507.38461538462,0,0,0
